sent_id,tokens,entities,relations
26960261_s0,12,2,1
26960261_s1,23,3,1
26960261_s2,17,2,1
26960261_s3,73,14,7
26960261_s4,16,3,0
26960261_s5,20,1,0
26960261_s6,37,8,6
26960261_s7,24,3,0
26960261_s8,32,3,2
26960261_s9,19,4,2
28514669_s0,19,3,1
28514669_s1,32,3,1
28514669_s2,16,1,0
28514669_s3,21,5,2
28514669_s4,10,0,0
28514669_s5,26,2,1
28514669_s6,29,3,0
28514669_s7,35,1,0
28514669_s8,31,2,0
28514669_s9,28,4,1
28514669_s10,11,1,0
30616078_s0,13,2,0
30616078_s1,14,1,0
30616078_s2,27,4,4
30616078_s3,34,12,13
30616078_s4,23,5,4
30616078_s5,20,12,6
30616078_s6,18,4,2
30616078_s7,27,1,0
30616078_s8,45,10,4
30616078_s9,36,3,1
28722749_s0,15,3,2
28722749_s1,28,1,0
28722749_s2,36,9,6
28722749_s3,46,2,1
28722749_s4,10,1,0
31000510_s0,13,3,0
31000510_s1,14,4,2
31000510_s2,26,0,0
31000510_s3,28,10,11
31000510_s4,12,1,0
31000510_s5,21,4,1
31000510_s6,17,1,0
31000510_s7,18,1,0
31000510_s8,23,7,0
31000510_s9,14,4,2
31000510_s10,25,3,2
31000510_s11,12,2,0
31000510_s12,13,3,2
31000510_s13,21,3,0
30145597_s0,12,2,0
30145597_s1,12,2,0
30145597_s2,13,0,0
30145597_s3,41,9,1
30145597_s4,42,4,2
30145597_s5,27,2,1
30145597_s6,32,3,2
30145597_s7,33,2,0
29472885_s0,11,1,0
29472885_s1,9,2,1
29472885_s2,9,0,0
29472885_s3,25,0,0
29472885_s4,21,0,0
29472885_s5,29,3,1
29472885_s6,28,1,0
29472885_s7,18,0,0
29472885_s8,35,1,0
29472885_s9,16,0,0
26912432_s0,13,4,0
26912432_s1,17,2,1
26912432_s2,33,7,0
26912432_s3,28,3,0
26912432_s4,35,4,0
26912432_s5,22,4,0
26912432_s6,21,1,0
26912432_s7,31,0,0
26912432_s8,41,3,0
26912432_s9,38,4,1
26912432_s10,11,0,0
26912432_s11,37,4,1
26912432_s12,32,1,0
27695602_s0,8,0,0
27695602_s1,30,4,0
27695602_s2,13,0,0
27695602_s3,25,1,0
27695602_s4,25,0,0
27695602_s5,22,0,0
29515131_s0,19,3,0
29515131_s1,25,4,1
29515131_s2,23,4,2
29515131_s3,25,3,0
29515131_s4,27,4,1
29515131_s5,18,1,0
29515131_s6,26,2,0
29515131_s7,30,2,0
29515131_s8,27,3,2
29949198_s0,11,2,1
29949198_s1,24,2,1
29949198_s2,22,0,0
29949198_s3,10,2,1
29949198_s4,17,6,0
29949198_s5,15,0,0
29949198_s6,29,1,0
29949198_s7,32,4,0
29949198_s8,34,0,0
29949198_s9,29,0,0
29949198_s10,27,0,0
29949198_s11,30,0,0
31617796_s0,10,3,1
31617796_s1,30,5,3
31617796_s2,24,4,3
31617796_s3,41,2,0
31617796_s4,59,6,1
31617796_s5,55,2,0
31617796_s6,36,3,0
31617796_s7,45,2,0
31617796_s8,26,1,0
31617796_s9,20,3,0
31617796_s10,10,0,0
31617796_s11,9,0,0
30472949_s0,11,2,0
30472949_s1,35,5,0
30472949_s2,25,1,0
30472949_s3,17,2,0
30472949_s4,31,0,0
30472949_s5,17,0,0
30472949_s6,7,0,0
30472949_s7,21,0,0
30472949_s8,39,1,0
29758944_s0,13,1,0
29758944_s1,39,6,1
29758944_s2,28,0,0
29758944_s3,30,1,0
29758944_s4,41,3,0
29758944_s5,35,4,0
29758944_s6,29,0,0
29758944_s7,39,3,0
29758944_s8,44,1,0
32966798_s0,16,5,3
32966798_s1,25,4,2
32966798_s2,19,4,3
32966798_s3,34,10,7
32966798_s4,20,3,0
32966798_s5,29,7,6
32966798_s6,10,2,1
32966798_s7,12,3,1
31374231_s0,16,2,0
31374231_s1,23,4,1
31374231_s2,18,2,0
31374231_s3,16,2,0
31374231_s4,41,6,0
31374231_s5,24,2,0
31374231_s6,26,4,0
31374231_s7,13,0,0
31374231_s8,26,3,0
31374231_s9,36,3,0
31374231_s10,15,0,0
33010896_s0,4,1,0
33010896_s1,13,1,0
33010896_s2,21,2,1
33010896_s3,31,1,0
33010896_s4,17,3,2
33010896_s5,17,1,0
27031475_s0,4,2,0
27031475_s1,10,3,2
27031475_s2,24,4,1
27031475_s3,22,3,2
27031475_s4,17,2,0
27031475_s5,30,2,0
27031475_s6,12,2,1
27031475_s7,16,1,0
27940352_s0,12,2,0
27940352_s1,58,6,1
27940352_s2,24,3,0
27940352_s3,32,2,0
27940352_s4,26,2,0
27940352_s5,23,4,4
27940352_s6,18,4,1
26443194_s0,12,2,0
