sent_id,tokens,entities,relations
20221103_53_s0,25,7,9
19965435_s0,8,3,1
19965435_s1,13,2,0
19965435_s2,43,5,1
19965435_s3,24,5,3
19965435_s4,26,4,2
19965435_s5,19,4,4
20221122_77_s0,33,9,4
1695713_s0,10,3,2
1695713_s1,25,7,8
1695713_s2,13,6,5
1695713_s3,19,4,2
1695713_s4,24,5,4
1695713_s5,13,4,1
1695713_s6,11,3,2
1695713_s7,31,6,4
20221103_114_s0,36,9,3
20221122_44_s0,27,5,4
30925266_s0,16,5,3
30925266_s1,14,3,3
30925266_s2,11,1,0
30925266_s3,17,1,0
30925266_s4,18,4,1
30925266_s5,29,6,4
30925266_s6,15,2,0
30925266_s7,30,3,0
30925266_s8,21,6,5
30925266_s9,45,5,0
30925266_s10,13,2,0
30925266_s11,23,3,1
20221103_27_s0,45,10,6
20221122_150_s0,41,6,1
30023193_s0,10,3,2
30023193_s1,8,1,0
30023193_s2,11,2,0
30023193_s3,20,5,3
30023193_s4,19,4,4
30023193_s5,13,3,0
30023193_s6,40,7,2
30023193_s7,14,3,0
30023193_s8,21,3,2
30023193_s9,9,2,0
30023193_s10,22,5,4
30023193_s11,23,4,2
20221103_124_s0,42,11,2
20221122_129_s0,45,9,2
29289025_s0,17,2,0
29289025_s1,26,3,0
29289025_s2,22,2,0
29289025_s3,20,3,3
29289025_s4,20,3,0
29289025_s5,21,1,0
29289025_s6,19,3,0
29289025_s7,22,3,0
29289025_s8,17,2,0
29289025_s9,26,5,0
29289025_s10,11,1,0
20221103_71_s0,24,8,10
20221103_185_s0,21,3,1
18560482_s0,16,2,1
18560482_s1,47,10,3
18560482_s2,16,2,1
18560482_s3,30,4,0
18560482_s4,26,4,0
18560482_s5,24,4,2
24846035_s0,31,9,6
24846035_s1,16,2,0
24846035_s2,21,2,0
24846035_s3,22,1,0
24846035_s4,30,5,0
24846035_s5,25,4,0
24846035_s6,57,6,0
24846035_s7,10,2,0
24846035_s8,27,5,0
24846035_s9,24,2,0
24846035_s10,55,10,4
24846035_s11,40,8,1
24846035_s12,23,4,1
24846035_s13,49,9,5
24846035_s14,17,2,0
24846035_s15,5,0,0
20221103_35_s0,55,11,0
20221103_156_s0,46,9,6
10865302_s0,35,8,6
10865302_s1,35,5,2
10865302_s2,22,4,1
10865302_s3,13,1,0
10865302_s4,12,2,0
10865302_s5,38,7,3
10865302_s6,27,2,0
10865302_s7,40,7,2
10865302_s8,29,1,0
10865302_s9,43,6,1
10865302_s10,40,7,0
10865302_s11,14,4,0
10865302_s12,22,4,2
10865302_s13,29,4,2
10865302_s14,2,0,0
20221103_72_s0,15,4,2
15062208_s0,7,2,1
15062208_s1,10,2,1
15062208_s2,17,3,1
15062208_s3,51,10,6
15062208_s4,24,5,6
37159360_s0,15,3,0
37159360_s1,19,5,7
37159360_s2,40,9,18
37159360_s3,30,7,8
37159360_s4,25,4,0
37159360_s5,30,7,6
37159360_s6,37,4,0
37159360_s7,34,5,1
37159360_s8,45,2,0
6332277_s0,12,3,2
6332277_s1,15,2,1
6332277_s2,19,2,0
6332277_s3,28,4,1
6332277_s4,10,2,0
6332277_s5,25,5,5
6332277_s6,37,6,4
6332277_s7,38,5,0
6332277_s8,22,2,1
33140216_s0,14,4,3
33140216_s1,18,3,3
33140216_s2,21,3,2
33140216_s3,13,3,2
33140216_s4,19,5,0
33140216_s5,23,4,3
33140216_s6,16,4,2
33140216_s7,12,3,0
33140216_s8,22,7,5
33140216_s9,20,3,2
33140216_s10,15,4,3
33140216_s11,18,2,1
33140216_s12,13,3,2
33140216_s13,7,1,0
33140216_s14,21,4,3
20221122_39_s0,68,12,14
20221103_30_s0,40,19,32
10584724_s0,10,3,0
10584724_s1,13,2,1
10584724_s2,27,8,1
10584724_s3,22,6,0
10584724_s4,16,2,0
10584724_s5,30,3,0
10584724_s6,26,3,0
10584724_s7,21,3,2
10584724_s8,23,4,0
10584724_s9,40,6,3
19293950_s0,8,2,1
19293950_s1,14,3,2
19293950_s2,16,2,0
19293950_s3,17,4,5
19293950_s4,23,2,1
19293950_s5,28,4,0
19293950_s6,21,2,0
19293950_s7,9,1,0
19293950_s8,25,4,1
20221103_146_s0,35,8,6
24904170_s0,12,3,1
24904170_s1,15,5,5
24904170_s2,13,2,0
24904170_s3,25,7,4
24904170_s4,35,6,2
24904170_s5,20,4,2
24904170_s6,13,2,1
26813212_s0,25,6,0
26813212_s1,21,3,0
26813212_s2,24,5,0
26813212_s3,14,2,0
26813212_s4,21,4,0
26813212_s5,34,9,0
26813212_s6,20,0,0
26813212_s7,18,4,1
26813212_s8,33,6,1
26813212_s9,56,7,0
26813212_s10,37,3,0
26813212_s11,8,1,0
26813212_s12,51,6,2
26813212_s13,22,3,1
26813212_s14,34,5,4
26813212_s15,28,4,0
20221103_12_s0,27,6,3
20221122_92_s0,34,6,3
20221122_154_s0,25,4,2
20221103_64_s0,16,3,1
25937213_s0,12,3,0
25937213_s1,17,4,1
25937213_s2,29,5,2
25937213_s3,22,6,4
25937213_s4,19,5,1
25937213_s5,71,18,20
25937213_s6,39,6,3
20221103_173_s0,21,4,3
26818216_s0,8,2,1
26818216_s1,30,4,2
26818216_s2,17,2,0
26818216_s3,39,7,0
26818216_s4,37,6,1
26818216_s5,27,7,1
26818216_s6,15,2,1
26818216_s7,12,3,0
26818216_s8,21,3,1
18668038_s0,9,2,1
18668038_s1,22,7,6
18668038_s2,16,1,0
18668038_s3,25,5,5
18668038_s4,22,5,0
18668038_s5,34,2,1
18668038_s6,22,2,0
18668038_s7,20,2,0
18668038_s8,14,2,1
18668038_s9,14,1,0
18668038_s10,26,4,3
19571809_s0,9,3,2
19571809_s1,17,4,3
19571809_s2,24,3,0
19571809_s3,23,5,6
19571809_s4,35,9,1
19571809_s5,7,2,0
19571809_s6,30,5,2
19571809_s7,22,6,8
19571809_s8,11,1,0
19571809_s9,14,0,0
20221122_165_s0,32,5,4
35110300_s0,39,4,1
35110300_s1,22,1,0
35110300_s2,16,3,0
35110300_s3,17,4,0
35110300_s4,23,3,0
35110300_s5,25,4,0
35110300_s6,28,2,1
35110300_s7,7,0,0
35110300_s8,46,5,1
35110300_s9,36,4,0
35110300_s10,4,0,0
35110300_s11,7,2,0
35110300_s12,9,1,0
35110300_s13,27,3,0
35110300_s14,23,2,1
35110300_s15,8,1,0
35110300_s16,13,4,0
35110300_s17,4,0,0
19900711_s0,17,3,2
